time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,34,1.7,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.1422577,0.1122437,-0.9807281,11.10394,8.92511,-34.48621,283.3987,292.7306,10,-0.3444794,0.1226505,-0.2865452,-2.743807,-0.119717,-0.07510044,-0.1876654,0.4078587,-0.3509604,-0.08970665,0.05573796,-0.02890748,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,35,1.75,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.1840057,0.118576,-1.000275,11.55779,9.307678,-34.31744,284.3563,293.6881,10,-0.1044015,0.5896415,-0.2594521,-2.759524,-0.1052671,-0.08495809,-0.06252555,0.5106439,-0.2153455,-0.03017859,-0.03250302,-0.07133236,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,36,1.8,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.002151489,0.1886749,-0.9975586,12.64001,9.759857,-33.87854,284.5243,293.8561,10,-0.1680883,0.7061401,-0.5588388,-2.775464,-0.07587566,-0.08667738,-0.09007823,0.8711459,-0.5180354,-0.1376012,0.08316988,0.0126666,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,37,1.85,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.2084656,0.1789398,-0.9885712,13.75716,10.66428,-32.86575,286.2925,295.6244,10,-0.2967449,0.9344697,-0.6331207,-2.796262,-0.03483911,-0.09592869,-0.2701444,0.7286894,-0.2586202,0.12035,0.1869637,-0.0774978,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,38,1.9,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.0349884,0.0665741,-1.133636,15.18849,11.04684,-31.88669,287.1093,296.4411,10,-0.1665802,0.5155017,-0.6896977,-2.817301,-0.008737266,-0.1054533,-0.3591398,0.6425624,-0.7095119,0.1084964,0.1289645,0.00800258,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,39,1.95,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1775818,0.02731323,-1.034912,16.41037,12.26431,-31.24527,289.2069,298.5387,10,0.2016199,0.562462,-0.3626885,-2.855629,0.02753814,-0.1051962,0.2713678,0.7311807,-0.3847909,-0.01569421,-0.05238994,-0.05793754,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,40,2,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1043243,0.00378418,-0.9595947,17.00386,12.36871,-30.8739,290.6168,299.9486,10,-0.03813593,0.1920304,-0.2548642,-2.871262,0.05088176,-0.09969161,-0.02894326,0.2916371,-0.3144711,0.08406679,-0.03267781,0.0858797,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,41,2.05,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1473541,0.06434631,-1.22998,17.66716,11.98605,-30.70514,290.6022,299.934,10,-0.4110472,0.1403976,-0.1468289,-2.883153,0.05206649,-0.1088798,-0.5664514,-0.3876594,-0.1671105,0.06447615,-0.1210855,0.1828863,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,42,2.1,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1382599,0.1297913,-1.00769,18.05116,12.15994,-29.92862,290.2703,299.6021,10,-0.0512797,-0.03991786,-0.1451364,-2.88974,0.05282566,-0.125529,-0.3274255,0.0206908,-0.1687636,0.02088707,0.04600403,-0.0395411,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,43,2.15,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1248322,0.01637268,-1.022781,17.94646,12.33389,-29.21964,289.8617,299.1935,10,-0.01744956,-0.1454035,-0.46592,-2.896223,0.04933831,-0.123981,0.1622745,-0.0691302,-0.1123412,0.090785,-0.0300204,-0.03708159,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,44,2.2,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.04003906,-0.002426147,-1.008514,17.4926,12.78607,-29.86108,292.0915,301.4233,10,0.08775036,-0.05459906,-0.1805165,-2.921529,0.04192757,-0.1285485,-0.02990097,-0.03460021,-0.4979085,0.1470902,-0.1304073,0.07132177,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,45,2.25,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.07107544,0.06735229,-1.028732,17.4926,13.20349,-30.33371,293.3478,302.6796,10,-0.1611457,-0.1415313,-0.06676731,-2.928689,0.03718966,-0.1295985,-0.1899641,-0.1111568,0.03565092,0.02450157,-0.03724074,0.01627306,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,46,2.3,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.007446289,0.0887146,-1.003952,17.70206,13.8992,-30.73883,294.0084,303.3402,10,0.1304139,-0.04399702,-0.2189872,-2.939988,0.02735891,-0.1329523,-0.01261267,-0.2020977,-0.4535506,0.1343697,-0.0397112,-0.03847769,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,47,2.35,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.09542847,0.09321594,-0.9452667,17.80678,13.79486,-30.36749,294.0996,303.4314,10,0.2682099,-0.0915451,0.01284576,-2.949892,0.02200849,-0.1198692,0.4062203,-0.09079858,-0.02502465,0.0438708,-0.06753457,0.001388174,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,48,2.4,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.051651,-0.0213623,-1.019302,17.59732,13.37747,-31.11023,294.5079,303.8398,10,-0.0913624,0.007036604,0.3051812,-2.950679,0.0148595,-0.1155633,-0.01193365,-0.08333032,0.242001,-0.009754966,-0.1198686,-0.0584917,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,49,2.45,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1615753,0.3815155,-1.14801,18.57481,12.82095,-31.85297,291.9365,301.2683,10,-0.06599047,-0.1151133,0.9016556,-2.93024,0.01233316,-0.1183976,-0.05539335,-0.2917134,0.5701809,0.07320271,-0.05827625,-0.000377728,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,50,2.5,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.117569,-0.06272888,-0.9947662,18.71445,12.54266,-31.98801,290.9958,300.3276,10,-0.0176477,0.04664234,0.1652486,-2.904449,0.01231874,-0.119464,-0.08725338,0.01645163,0.658039,-0.009972326,0.001883216,0.001525356,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:39.,51,2.55,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1545105,0.04620361,-1.093018,19.37773,11.88174,-31.27908,288.6596,297.9914,10,0.3338225,-0.3621992,-0.2284603,-2.887835,0.01163098,-0.1188038,-0.08685972,-0.169516,0.0448489,-0.03385708,-0.06147193,-0.01273127,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
